3ff2d7e7 3fe349ab 40579b54 405799e4 40578b24 40569600
d3a66bd9 3280ac89 c6a74c2c c6a74aa0 c6a72ff8 c6a60000
3f18197c bd8356a4 bd1c1109 bd1c0fc7 bd1bff6a bd1b9000
3fa6c9c4 3fa3a373 3fd539ea 3fd5385a 3fd528f0 3fd36400
b0b8f843 3fc6d900 b10facce b10fac9a b10f9fe3 b10e5000
3fe575f2 3fcfa392 403a1cfc 403a1bb4 403a14f6 40392b00
bf11c30f bf2df8b0 3ec61cd5 3ec61bf8 3ec60ec8 3ec3fa00
3fce67b3 3f859fe4 3fd77994 3fd7776a 3fd757ec 3fd60c00
3cf3f03d bd8a6b8d bb03e5fd bb03e555 bb03dada bb02fe00
4450957a 438139ec 48529508 4852930c 48527f56 4851a000
bbcce70d bf0145b9 3b4ef078 3b4eef43 3b4ee030 3b4d9800
dd18a0a2 5b99ad7b f9373edd f9373d88 f9372e08 f935b000
37807a5d 5313c561 4b1452a4 4b1451d8 4b144148 4b130000
3f42bae5 3ca069a2 3c740a52 3c74083d 3c73ee04 3c728000
3fd1e241 3fdef25a 4036c8e6 4036c864 4036c502 40353e00
3f8bb621 3fc54433 3fd750bf 3fd75055 3fd742b8 3fd5ee00
3fef880c b74c914c b7bf685d b7bf680c b7bf60b8 b7be7400
c360bc85 c3b0f6b2 479b5a2d 479b5935 479b4ba5 479a0000
441e2b47 c3711b8f c814f7c5 c814f72a c814e602 c814be00
446f5fbb 4333fbbf 48284b55 48284a1f 4828354b 48271d00
3e8d4efa 3eb4af5f 3dc778aa 3dc776e1 3dc75290 3dc64800
dab85c31 b6b38510 5201484a 5201481c 52013c18 5200a800
3ffbe1ca 3f9b8541 401904d2 40190417 4018fe90 4017f900
43abc3e2 c3c79476 c805e8e1 c805e7e2 c805e2dc c804ed00
3ea61b9f bf3c9cda be74c41e be74c219 be74a252 be73d000
3fec2b65 3ff8f410 4065ab32 4065aac1 40659c5e 4064a000
d7c8ec8f 2a18a2a5 c26f9838 c26f968b c26f8518 c26d8000
3fc6b2a2 3f971c58 3fea92bb 3fea9173 3fea7c76 3fe99400
3e90f82c 3e0ebbdf 3d21a818 3d21a6ea 3d21918a 3d1fc000
3fb02a33 3fb49a2f 3ff88f8b 3ff88f03 3ff87324 3ff78000
c466f8ab 443c1c02 c929b7e3 c929b763 c929a6af c928e800
c2811442 42be8a72 c5c025af c5c024da c5c014d0 c5bf7c00
3f00ada9 bf731965 bef46336 bef46190 bef43fd4 bef30000
be82e1dd bf7075ed 3e75e013 3e75dd82 3e75d684 3e73c000
3ffbcb83 3fd43181 4050b539 4050b44e 4050aa34 404fdc00
c30f8f3c 423debbe c5d501e5 c5d500b7 c5d4de20 c5d32600
be9f873d 3e38ea7b bd6676a4 bd6675b3 bd665f20 bd649000
3fd782f8 3fad7e33 40120dbf 40120cec 4011ffc8 40114b00
3fe1f3a0 3ff45ffd 4057b0ed 4057af75 40579f5b 40567400
dd777a49 b3e06191 51d8e951 51d8e885 51d8deca 51d82000
5211817c 3ae85a51 4d8410ae 4d84100f 4d840978 4d836800
43807642 44128307 48130a63 48130a11 48130030 48120000
3fdce8a2 3f9cfb72 400776bd 400775f7 40076792 40061000
ad2e7af2 a7ac4bbe 156adc74 156ada2b 156abdb8 1569d000
3e162f77 bea3c532 bd4027d1 bd4026fe bd400df0 bd3f0400
3fa2c152 3ff9dc6e 401eda2d 401ed997 401ed0fc 401d9200
44703287 41f85cda 46e90811 46e906c2 46e8f98f 46e88000
3d2d6497 3f4b075c 3d0983c0 3d09830a 3d097b20 3d092f00
3fca52d5 3fb69c73 40105289 40105196 401046ad 400f9c00
5a34b0d2 4c08cbaa 66c11b60 66c1198f 66c10a08 66bf4000
421c1e5a 44617817 47097fe9 47097f8c 47096e57 47091c00
befefa0e 3f1cb12a be9c10d5 be9c10a3 be9c0985 be9ac800
ca5bc979 c77c5c1a 5258a966 5258a8d8 525895ac 52579400
be5054e7 bf181bf3 3df79250 3df78fb2 3df7790a 3df70000
c40f8bc0 444fbb71 c8e8f635 c8e8f47f c8e8d650 c8e74200
442a159c c441cc11 c900c1df c900c15e c900b59c c9002a00
c5bd5650 c5546320 4b9d14ca 4b9d1470 4b9d0d3e 4b9c8400
3f6c362e bd8beb52 bd811a8c bd811a28 bd810cba bd802400
438739e7 c41e0e28 c826fa6e c826f926 c826df40 c826a400
cdb4ac95 21e85930 b023fb59 b023fab0 b023e972 b0232000
3f8e7d80 3ff4e8d0 40085134 40085045 40083f62 40075800
4b705831 56f5338b 62e634cb 62e6341a 62e6299f 62e5b000
bf707dfb bf75a64e 3f66c4cc 3f66c392 3f66b176 3f65b000
c3f73b38 c3fb6e23 4872d16d 4872d114 4872b8c2 48722d00
3fc89549 3f84fd7d 3fd0672e 3fd0661f 3fd04c8e 3fce4000
4334c697 c426fe93 c7ebd916 c7ebd781 c7ebbbe8 c7e97000
c46f765b c3bd6e08 48b1314e 48b13103 48b11f7a 48b07300
43c4ea2c 48543a33 4ca33eb1 4ca33e65 4ca32e6a 4ca25000
c41a5fa8 4314ca1c c7b3725b c7b37176 c7b353f8 c7b21000
b8669cf0 3ded502b b6d5c782 b6d5c67d b6d5bb5d b6d4ee00
